Locality,BHK,Area_sqft,Furnishing,Floor_Number,Total_Building_Floors,Age_Years,Balconies,Bathrooms,Parking,Lift,Availability,Tenant_Type,Security_Deposit,Rent_INR
Akurdi,1 BHK,318,Semi-Furnished,13,15,15,0,1,1,Yes,Immediate,Bachelor,25875,8625
Akurdi,2 BHK,757,Semi-Furnished,1,3,20,1,2,1,No,Immediate,Family,121575,40525
Akurdi,1 BHK,510,Fully Furnished,14,15,10,0,1,1,Yes,After 1 Month,Family,52444,26222
Akurdi,1 BHK,414,Semi-Furnished,1,3,3,0,1,1,No,Immediate,Family,51705,17235
Akurdi,2 BHK,954,Semi-Furnished,7,12,7,1,1,2,Yes,Not Sure,Family,58014,58014
Akurdi,1 BHK,488,Semi-Furnished,5,6,1,0,1,2,Yes,Immediate,Family,38976,19488
Akurdi,2 BHK,914,Unfurnished,3,4,6,1,2,1,Yes,After 1 Month,Family,124410,41470
Akurdi,1 BHK,453,Semi-Furnished,2,12,9,0,1,0,Yes,Immediate,Both,27434,13717
Akurdi,2 BHK,791,Fully Furnished,0,3,18,1,2,1,No,Immediate,Family,66716,33358
Akurdi,2 BHK,985,Semi-Furnished,15,15,10,1,2,1,Yes,Immediate,Family,116340,58170
Akurdi,1 BHK,534,Semi-Furnished,2,6,10,0,1,1,No,Immediate,Family,43737,14579
Akurdi,1 BHK,358,Semi-Furnished,6,12,9,0,1,0,Yes,After 1 Month,Family,13551,13551
Akurdi,1 BHK,360,Semi-Furnished,2,15,8,0,1,1,Yes,After 1 Month,Bachelor,31170,15585
Akurdi,1 BHK,407,Semi-Furnished,0,15,7,1,1,1,Yes,After 1 Month,Family,47670,15890
Akurdi,1 BHK,384,Unfurnished,0,3,10,0,1,2,No,After 1 Month,Family,27030,13515
Akurdi,2 BHK,523,Fully Furnished,8,8,3,1,2,1,Yes,Immediate,Bachelor,96792,32264
Akurdi,2 BHK,797,Semi-Furnished,5,10,15,2,2,1,Yes,Immediate,Family,57316,28658
Akurdi,2 BHK,929,Fully Furnished,8,10,26,1,2,1,Yes,Immediate,Family,104284,52142
Akurdi,2 BHK,603,Unfurnished,7,10,18,1,2,1,Yes,Not Sure,Family,61022,30511
Akurdi,2 BHK,835,Semi-Furnished,5,10,5,2,1,1,Yes,Not Sure,Family,80022,26674
Akurdi,3 BHK,900,Semi-Furnished,1,10,10,3,2,0,Yes,Immediate,Family,111846,37282
Akurdi,1 BHK,365,Semi-Furnished,1,12,17,0,1,1,Yes,Not Sure,Both,26776,13388
Akurdi,1 BHK,523,Semi-Furnished,3,12,3,0,1,1,Yes,Immediate,Family,62694,20898
Akurdi,2 BHK,731,Unfurnished,3,4,9,1,2,2,Yes,Immediate,Family,83330,41665
Akurdi,2 BHK,674,Unfurnished,3,4,9,1,2,2,Yes,Immediate,Bachelor,37974,18987
Akurdi,2 BHK,904,Unfurnished,0,15,19,1,2,2,Yes,After 1 Month,Both,37278,37278
Akurdi,1 BHK,348,Fully Furnished,5,15,6,0,1,0,Yes,Immediate,Family,45758,22879
Akurdi,1 BHK,537,Fully Furnished,3,4,5,0,1,1,Yes,Immediate,Family,32182,32182
Akurdi,2 BHK,707,Semi-Furnished,6,12,15,1,1,1,No,Immediate,Family,68906,34453
Akurdi,3 BHK,1082,Unfurnished,6,8,11,2,3,1,No,Immediate,Family,127164,63582
Akurdi,3 BHK,1038,Semi-Furnished,1,5,5,1,3,0,Yes,Not Sure,Family,135822,67911
Akurdi,2 BHK,915,Unfurnished,8,8,0,1,2,1,Yes,Immediate,Bachelor,53583,53583
Akurdi,2 BHK,609,Fully Furnished,1,6,11,0,2,1,Yes,Immediate,Family,44696,22348
Akurdi,2 BHK,714,Unfurnished,5,5,21,0,2,2,Yes,Immediate,Family,40502,20251
Akurdi,3 BHK,1201,Unfurnished,1,10,14,1,2,1,Yes,Immediate,Family,79883,79883
Akurdi,2 BHK,875,Unfurnished,10,12,11,1,2,1,Yes,Not Sure,Both,85926,42963
Akurdi,2 BHK,745,Semi-Furnished,12,12,4,0,2,1,Yes,Immediate,Family,82534,41267
Akurdi,1 BHK,378,Semi-Furnished,0,3,7,0,1,2,No,Immediate,Family,32220,16110
Akurdi,1 BHK,384,Unfurnished,2,5,15,0,1,2,Yes,After 2 Months,Family,8925,8925
Akurdi,1 BHK,360,Semi-Furnished,3,8,15,0,1,1,Yes,After 1 Month,Family,41559,13853
Akurdi,1 BHK,344,Fully Furnished,4,4,13,0,1,1,Yes,After 1 Month,Family,21320,10660
Akurdi,2 BHK,1085,Fully Furnished,3,12,13,1,2,1,Yes,Immediate,Family,196986,65662
Akurdi,2 BHK,994,Unfurnished,3,3,5,1,2,1,No,Not Sure,Family,96066,48033
Akurdi,1 BHK,381,Fully Furnished,8,10,4,0,1,1,Yes,Immediate,Family,27018,13509
Akurdi,2 BHK,1062,Semi-Furnished,7,15,13,1,2,1,No,Immediate,Family,118788,39596
Akurdi,2 BHK,659,Unfurnished,6,6,15,1,2,1,Yes,Immediate,Both,42228,21114
Akurdi,1 BHK,331,Semi-Furnished,1,4,15,1,1,1,No,After 1 Month,Bachelor,29949,9983
Akurdi,2 BHK,891,Semi-Furnished,3,3,3,1,2,1,No,Immediate,Bachelor,169767,56589
Akurdi,1 BHK,459,Semi-Furnished,4,5,8,0,1,1,Yes,Not Sure,Family,23504,11752
Akurdi,1 BHK,366,Semi-Furnished,0,5,2,0,1,0,Yes,Not Sure,Family,14503,14503
Akurdi,1 BHK,374,Semi-Furnished,7,8,2,1,1,1,Yes,Immediate,Family,19362,19362
Akurdi,2 BHK,950,Semi-Furnished,8,10,11,1,2,1,Yes,Immediate,Both,78314,39157
Akurdi,1 BHK,297,Semi-Furnished,3,5,19,0,1,2,Yes,Immediate,Family,7984,7984
Akurdi,1 BHK,483,Semi-Furnished,5,6,4,1,1,2,Yes,Immediate,Both,32018,16009
Akurdi,1 BHK,449,Semi-Furnished,0,15,17,0,1,2,Yes,Immediate,Family,31064,15532
Akurdi,1 BHK,499,Semi-Furnished,0,6,2,1,1,2,Yes,Not Sure,Both,40822,20411
Akurdi,1 BHK,482,Fully Furnished,3,4,7,0,1,2,Yes,Immediate,Family,20441,20441
Akurdi,2 BHK,791,Semi-Furnished,8,10,7,1,2,1,Yes,After 1 Month,Family,32236,32236
Akurdi,1 BHK,369,Semi-Furnished,2,6,1,0,1,2,Yes,Not Sure,Bachelor,28974,14487
Akurdi,3 BHK,1271,Semi-Furnished,0,3,5,1,2,1,No,Immediate,Both,140283,46761
Akurdi,1 BHK,421,Unfurnished,6,6,6,0,1,1,Yes,Not Sure,Both,10824,10824
Akurdi,2 BHK,777,Semi-Furnished,10,12,0,1,2,0,Yes,Immediate,Both,94842,47421
Akurdi,1 BHK,316,Unfurnished,3,3,11,0,1,2,No,Not Sure,Family,23520,11760
Akurdi,2 BHK,677,Semi-Furnished,0,4,6,1,2,1,Yes,Immediate,Bachelor,26196,26196
Akurdi,1 BHK,498,Semi-Furnished,2,6,14,0,1,1,Yes,Immediate,Family,51000,17000
Akurdi,2 BHK,702,Semi-Furnished,0,10,6,1,2,2,Yes,Not Sure,Family,29531,29531
Akurdi,1 BHK,390,Semi-Furnished,4,4,10,0,1,0,Yes,Immediate,Bachelor,34760,17380
Akurdi,2 BHK,861,Semi-Furnished,2,4,9,1,2,1,Yes,Immediate,Family,137304,45768
Akurdi,1 BHK,543,Semi-Furnished,12,15,25,0,1,1,Yes,After 1 Month,Bachelor,43178,21589
Akurdi,2 BHK,801,Semi-Furnished,1,6,3,0,2,1,Yes,Immediate,Bachelor,111033,37011
Akurdi,2 BHK,750,Fully Furnished,2,8,7,1,2,0,Yes,Immediate,Both,49544,24772
Akurdi,3 BHK,626,Fully Furnished,0,10,0,1,3,1,Yes,Immediate,Bachelor,92252,46126
Akurdi,2 BHK,891,Semi-Furnished,3,3,11,1,1,1,No,Immediate,Bachelor,37358,37358
Akurdi,2 BHK,744,Fully Furnished,3,8,11,1,2,1,Yes,After 1 Month,Bachelor,143046,47682
Akurdi,3 BHK,1162,Semi-Furnished,10,12,6,1,2,1,Yes,Immediate,Both,101826,50913
Akurdi,1 BHK,545,Semi-Furnished,3,8,16,1,1,1,Yes,After 1 Month,Family,31370,15685
Akurdi,2 BHK,895,Unfurnished,3,3,14,0,2,1,No,Immediate,Bachelor,25606,25606
Akurdi,2 BHK,954,Semi-Furnished,2,4,10,1,1,1,Yes,After 1 Month,Family,50791,50791
Akurdi,2 BHK,1120,Semi-Furnished,5,10,9,0,2,1,Yes,Immediate,Family,138888,46296
Akurdi,2 BHK,776,Semi-Furnished,1,4,3,1,2,1,Yes,Immediate,Bachelor,51320,25660
Akurdi,2 BHK,896,Unfurnished,2,8,18,1,2,1,Yes,Immediate,Family,86838,43419
Akurdi,1 BHK,422,Semi-Furnished,2,12,15,0,1,1,Yes,Immediate,Bachelor,9348,9348
Akurdi,1 BHK,419,Semi-Furnished,4,12,2,0,1,0,Yes,Immediate,Family,29886,14943
Akurdi,1 BHK,535,Unfurnished,14,15,13,0,1,1,Yes,Immediate,Family,19050,19050
Akurdi,2 BHK,933,Semi-Furnished,1,4,3,1,2,1,Yes,Immediate,Family,55234,55234
Akurdi,1 BHK,318,Semi-Furnished,4,5,15,0,1,0,Yes,Immediate,Both,21314,10657
Akurdi,2 BHK,846,Unfurnished,0,4,10,2,2,0,Yes,After 1 Month,Family,42016,42016
Akurdi,2 BHK,944,Fully Furnished,12,12,10,1,2,0,Yes,Immediate,Family,124134,62067
Akurdi,3 BHK,794,Unfurnished,4,15,9,2,3,1,Yes,After 1 Month,Family,49332,49332
Akurdi,1 BHK,368,Unfurnished,2,8,16,1,1,1,Yes,After 2 Months,Family,13098,13098
Akurdi,2 BHK,889,Semi-Furnished,1,3,16,1,2,1,No,Immediate,Bachelor,65926,32963
Akurdi,2 BHK,948,Fully Furnished,4,5,18,0,2,1,Yes,Immediate,Family,89682,44841
Akurdi,1 BHK,481,Unfurnished,5,5,9,1,1,1,Yes,Immediate,Family,26622,13311
Akurdi,3 BHK,1288,Semi-Furnished,7,15,15,1,3,1,Yes,Immediate,Family,133488,66744
Akurdi,1 BHK,617,Semi-Furnished,4,6,13,0,1,0,No,After 2 Months,Both,55172,27586
Akurdi,1 BHK,423,Semi-Furnished,1,15,1,0,1,2,Yes,Immediate,Family,33404,16702
Akurdi,2 BHK,760,Semi-Furnished,4,8,5,1,1,1,Yes,Immediate,Bachelor,129618,43206
Akurdi,2 BHK,772,Semi-Furnished,5,12,4,1,2,2,Yes,Immediate,Both,33537,33537
Akurdi,3 BHK,1106,Semi-Furnished,6,8,6,1,2,2,No,After 1 Month,Family,219468,73156
Akurdi,1 BHK,426,Semi-Furnished,7,10,1,0,1,0,Yes,After 1 Month,Both,36732,12244
Alandi,3 BHK,1213,Semi-Furnished,3,5,13,1,2,0,Yes,Immediate,Bachelor,111870,55935
Alandi,1 BHK,459,Unfurnished,1,6,1,0,1,1,Yes,Immediate,Family,27620,13810
Alandi,1 BHK,403,Unfurnished,1,4,10,0,1,1,Yes,Not Sure,Family,20198,10099
Alandi,1 BHK,510,Semi-Furnished,15,15,25,0,1,0,Yes,After 1 Month,Family,46332,15444
Alandi,1 BHK,445,Fully Furnished,1,3,13,0,1,0,No,Immediate,Family,25601,25601
Alandi,1 BHK,261,Unfurnished,1,5,8,0,1,0,Yes,Immediate,Family,22664,11332
Alandi,1 BHK,479,Unfurnished,1,3,5,0,1,0,No,Not Sure,Family,36922,18461
Alandi,1 BHK,310,Semi-Furnished,9,12,32,0,1,0,No,Immediate,Family,23144,11572
Alandi,2 BHK,663,Fully Furnished,1,8,7,1,1,1,Yes,After 1 Month,Family,93912,46956
Alandi,2 BHK,807,Semi-Furnished,5,15,25,1,2,1,Yes,Immediate,Bachelor,84506,42253
Alandi,1 BHK,412,Semi-Furnished,4,5,0,0,1,2,Yes,Not Sure,Family,42636,21318
Alandi,1 BHK,553,Unfurnished,7,10,7,1,1,1,Yes,Immediate,Family,22579,22579
Alandi,1 BHK,520,Semi-Furnished,0,5,2,0,1,1,Yes,Immediate,Family,28254,14127
Alandi,2 BHK,1040,Fully Furnished,2,12,14,1,1,2,Yes,Immediate,Family,54911,54911
Alandi,1 BHK,440,Fully Furnished,0,3,1,0,1,1,No,Immediate,Family,36912,18456
Alandi,1 BHK,445,Unfurnished,3,3,0,0,1,1,No,Immediate,Bachelor,14383,14383
Alandi,2 BHK,869,Semi-Furnished,3,3,11,0,2,1,No,Immediate,Family,31476,31476
Alandi,1 BHK,495,Fully Furnished,5,12,0,0,1,1,Yes,Immediate,Family,34878,17439
Alandi,2 BHK,736,Unfurnished,3,4,12,0,1,1,Yes,Immediate,Bachelor,58844,29422
Alandi,2 BHK,721,Semi-Furnished,2,4,12,1,2,1,Yes,After 1 Month,Both,78682,39341
Alandi,2 BHK,1020,Semi-Furnished,0,3,8,1,2,1,No,Immediate,Family,99518,49759
Alandi,2 BHK,631,Semi-Furnished,3,3,18,1,1,2,No,Immediate,Family,51966,25983
Alandi,2 BHK,947,Unfurnished,6,10,8,1,2,1,Yes,Immediate,Both,120549,40183
Alandi,1 BHK,403,Unfurnished,4,8,2,0,1,1,Yes,Not Sure,Family,19818,9909
Alandi,1 BHK,454,Semi-Furnished,6,8,20,0,1,0,Yes,Immediate,Both,29212,14606
Alandi,1 BHK,467,Unfurnished,5,15,11,1,1,2,Yes,Immediate,Family,36146,18073
Alandi,2 BHK,921,Semi-Furnished,5,8,10,1,2,1,Yes,After 1 Month,Family,73270,36635
Alandi,1 BHK,395,Semi-Furnished,1,4,8,0,1,1,Yes,Immediate,Bachelor,32968,16484
Alandi,2 BHK,959,Semi-Furnished,4,6,0,0,2,2,Yes,Immediate,Family,104596,52298
Alandi,1 BHK,457,Unfurnished,1,3,16,1,1,1,No,After 1 Month,Family,31646,15823
Alandi,1 BHK,404,Unfurnished,1,4,20,0,1,1,Yes,Immediate,Bachelor,40767,13589
Alandi,2 BHK,902,Semi-Furnished,3,8,7,0,2,0,Yes,Immediate,Family,88902,44451
Alandi,2 BHK,878,Unfurnished,9,12,10,1,2,1,Yes,Immediate,Family,79695,26565
Alandi,1 BHK,457,Fully Furnished,1,3,12,0,1,2,No,Immediate,Family,28563,28563
Alandi,2 BHK,673,Semi-Furnished,6,6,16,1,2,1,Yes,After 1 Month,Family,44864,22432
Alandi,2 BHK,647,Semi-Furnished,1,3,5,1,2,1,No,Not Sure,Family,66858,33429
Alandi,2 BHK,847,Unfurnished,3,10,27,1,2,2,Yes,After 2 Months,Family,71404,35702
Alandi,3 BHK,1127,Semi-Furnished,6,8,7,2,2,0,Yes,Immediate,Family,106304,53152
Alandi,1 BHK,384,Unfurnished,0,3,1,0,1,1,No,Immediate,Family,28320,9440
Alandi,3 BHK,1314,Unfurnished,5,10,16,2,2,1,No,After 1 Month,Family,133426,66713
Alandi,1 BHK,527,Unfurnished,3,6,16,0,1,2,No,Immediate,Bachelor,52632,17544
Alandi,2 BHK,1031,Semi-Furnished,8,12,32,1,2,2,Yes,Immediate,Family,121988,60994
Alandi,1 BHK,462,Semi-Furnished,4,4,11,0,1,1,No,Immediate,Bachelor,33366,11122
Alandi,3 BHK,1265,Fully Furnished,7,8,2,3,2,1,No,After 1 Month,Family,62890,62890
Alandi,2 BHK,980,Unfurnished,7,10,10,1,2,1,Yes,Immediate,Family,63704,31852
Alandi,3 BHK,1202,Fully Furnished,3,15,9,2,3,0,Yes,After 1 Month,Both,158265,52755
Alandi,1 BHK,359,Unfurnished,5,6,23,0,1,0,Yes,Not Sure,Family,42576,14192
Alandi,2 BHK,894,Semi-Furnished,8,10,1,0,2,1,Yes,After 1 Month,Family,73044,36522
